Gene,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000103009,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.0603901166
ENSMUSG00000106423,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4732694371
ENSMUSG00000111345,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4733191395
ENSMUSG00000109119,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4733191395
ENSMUSG00000074876,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4733191395
ENSMUSG00000097183,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4735225467
ENSMUSG00000086470,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4735225469
ENSMUSG00000086608,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4742565058
ENSMUSG00000103200,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.474341649
ENSMUSG00000097237,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.474341649
ENSMUSG00000104696,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.4755817055
ENSMUSG00000054910,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.715005536
ENSMUSG00000106205,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.2665629502
ENSMUSG00000106706,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,2.6246339383
ENSMUSG00000106847,-0.3376817062,-0.1390454084,-0.3376817062,-0.3376817062,2.8404990577,-0.3376817062,-0.3376817062,-0.3376817062,-0.3376817062,2.3766492551
